# file...... output/inv_50_meter.csv
# date...... Fri Apr 22 11:04:33 2022
# user...... nathangray
# host...... (null)
# target.... meter 473
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power_A,measured_power_B,measured_power_C
2001-08-01 12:00:00 PDT,-49999.9930729+0.004579446341j,-50000.009311+0.001574175483j,-49999.9962814-0.005509995266j
2001-08-01 12:00:01 PDT,-50000.0022856-0.001551773341j,-49999.9968761-0.000502143605j,-50000.0012839+0.001839189747j
2001-08-01 12:00:02 PDT,-49999.9992481+0.000525599929j,-50000.001047+0.000158948460j,-49999.9995569-0.000612943102j
2001-08-01 12:00:03 PDT,-50000.0002466-0.000177930363j,-49999.9996495-0.000049843988j,-50000.0001529+0.000203922322j
2001-08-01 12:00:04 PDT,-49999.9999194+0.000060198234j,-50000.0001172+0.000015450689j,-49999.9999473-0.000067715606j
2001-08-01 12:00:05 PDT,-50000.0000262-0.000020353283j,-49999.9999609-0.000004720187j,-50000.0000182+0.000022439490j
2001-08-01 12:00:06 PDT,-49999.9999915+0.000006876742j,-50000.000013+0.000001415050j,-49999.9999937-0.000007419021j
2001-08-01 12:00:07 PDT,-50000.0000027-0.000002321718j,-49999.9999957-0.000000413558j,-50000.0000022+0.000002446719j
2001-08-01 12:00:08 PDT,-49999.9999991+0.000000783239j,-50000.0000014+0.000000116594j,-49999.9999993-0.000000804648j
2001-08-01 12:00:09 PDT,-50000.0000003-0.000000264007j,-49999.9999995-0.000000031097j,-50000.0000003+0.000000263823j
2001-08-01 12:00:10 PDT,-49999.9999999+0.000000088911j,-50000.0000002+0.000000007523j,-49999.9999999-0.000000086176j
2001-08-01 12:00:11 PDT,-50000-0.000000029915j,-49999.9999999-0.000000001506j,-50000+0.000000028009j
2001-08-01 12:00:12 PDT,-50000+0.000000010055j,-50000+0.000000000149j,-50000-0.000000009088j
2001-08-01 12:00:13 PDT,-50000-0.000000003377j,-50000+0.000000000076j,-50000+0.000000002943j
2001-08-01 12:00:14 PDT,-50000+0.000000001132j,-50000-0.000000000051j,-50000-0.000000000957j
2001-08-01 12:00:15 PDT,-50000-0.000000000377j,-50000+0.000000000029j,-50000+0.000000000306j
2001-08-01 12:00:16 PDT,-50000+0.000000000125j,-50000-0.000000000025j,-50000-0.000000000084j
2001-08-01 12:00:17 PDT,-50000-0.000000000040j,-50000+0.000000000004j,-50000+0.000000000018j
2001-08-01 12:00:18 PDT,-50000+0.000000000012j,-50000+0.000000000007j,-50000-0.000000000007j
2001-08-01 12:00:19 PDT,-50000-0.000000000003j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:20 PDT,-50000+0.000000000002j,-50000-0.000000000007j,-50000-0.000000000007j
2001-08-01 12:00:21 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:22 PDT,-50000+0.000000000002j,-50000-0.000000000007j,-50000-0.000000000007j
2001-08-01 12:00:23 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:24 PDT,-50000+0.000000000002j,-50000-0.000000000007j,-50000-0.000000000007j
2001-08-01 12:00:25 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
