# file...... output/inv_51_meter.csv
# date...... Fri Dec 30 15:31:32 2022
# user...... nathangray
# host...... (null)
# target.... meter 475
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power_A,measured_power_B,measured_power_C
2001-08-01 12:00:00 PDT,-49999.9930603+0.004593477791j,-50000.0093449+0.001576915096j,-49999.9962664-0.005524433185j
2001-08-01 12:00:01 PDT,-50000.0022898-0.001556492308j,-49999.9968647-0.000503005285j,-50000.001289+0.001843994021j
2001-08-01 12:00:02 PDT,-49999.9992467+0.000527185524j,-50000.0010509+0.000159216936j,-49999.9995552-0.000614539396j
2001-08-01 12:00:03 PDT,-50000.000247-0.000178462574j,-49999.9996482-0.000049926584j,-50000.0001535+0.000204451746j
2001-08-01 12:00:04 PDT,-49999.9999193+0.000060376668j,-50000.0001176+0.000015475693j,-49999.9999471-0.000067890829j
2001-08-01 12:00:05 PDT,-50000.0000263-0.000020413032j,-49999.9999607-0.000004727593j,-50000.0000183+0.000022497348j
2001-08-01 12:00:06 PDT,-49999.9999915+0.000006896723j,-50000.0000131+0.000001417167j,-49999.9999937-0.000007438077j
2001-08-01 12:00:07 PDT,-50000.0000027-0.000002328390j,-49999.9999956-0.000000414144j,-50000.0000022+0.000002452984j
2001-08-01 12:00:08 PDT,-49999.9999991+0.000000785464j,-50000.0000014+0.000000116743j,-49999.9999993-0.000000806693j
2001-08-01 12:00:09 PDT,-50000.0000003-0.000000264748j,-49999.9999995-0.000000031123j,-50000.0000003+0.000000264499j
2001-08-01 12:00:10 PDT,-49999.9999999+0.000000089157j,-50000.0000002+0.000000007527j,-49999.9999999-0.000000086406j
2001-08-01 12:00:11 PDT,-50000-0.000000029997j,-49999.9999999-0.000000001502j,-50000+0.000000028074j
2001-08-01 12:00:12 PDT,-50000+0.000000010082j,-50000+0.000000000149j,-50000-0.000000009109j
2001-08-01 12:00:13 PDT,-50000-0.000000003386j,-50000+0.000000000080j,-50000+0.000000002950j
2001-08-01 12:00:14 PDT,-50000+0.000000001135j,-50000-0.000000000055j,-50000-0.000000000953j
2001-08-01 12:00:15 PDT,-50000-0.000000000378j,-50000+0.000000000018j,-50000+0.000000000309j
2001-08-01 12:00:16 PDT,-50000+0.000000000125j,-50000-0.000000000022j,-50000-0.000000000084j
2001-08-01 12:00:17 PDT,-50000-0.000000000040j,-50000+0.000000000004j,-50000+0.000000000022j
2001-08-01 12:00:18 PDT,-50000+0.000000000013j,-50000+0.000000000011j,-50000-0.000000000011j
2001-08-01 12:00:19 PDT,-50000-0.000000000003j,-50000+0.000000000004j,-50000+0.000000000011j
2001-08-01 12:00:20 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:21 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:22 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:23 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:24 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:25 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:26 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:27 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:28 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:29 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:30 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:31 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:32 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:33 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:34 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:35 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:36 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:37 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:38 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:39 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:40 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:41 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:42 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:43 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:44 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:45 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:46 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:47 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:48 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:49 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:50 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:51 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:52 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:53 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:54 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:55 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:56 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:57 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:00:58 PDT,-50000+0.000000000002j,-50000-0.000000000004j,-50000-0.000000000007j
2001-08-01 12:00:59 PDT,-50000-0.000000000002j,-50000+0.000000000004j,-50000+0.000000000007j
2001-08-01 12:01:00 PDT,-45000.0084856-0.000836382677j,-44999.9947045-0.003866859435j,-44999.9983408+0.004279272231j
2001-08-01 12:01:01 PDT,-44999.9969781+0.000318322972j,-45000.0019226+0.001377222059j,-45000.0005834-0.001537599266j
2001-08-01 12:01:02 PDT,-45000.0010773-0.000119497576j,-44999.9993052-0.000489921640j,-44999.9997968+0.000551794539j
2001-08-01 12:01:03 PDT,-44999.9996159+0.000044485314j,-45000.0002504+0.000174141704j,-45000.0000704-0.000197807531j
2001-08-01 12:01:04 PDT,-45000.0001369-0.000016465932j,-44999.9999099-0.000061861174j,-44999.9999756+0.000070841776j
2001-08-01 12:01:05 PDT,-44999.9999512+0.000006068358j,-45000.0000324+0.000021964282j,-45000.0000084-0.000025348589j
2001-08-01 12:01:06 PDT,-45000.0000174-0.000002228536j,-44999.9999884-0.000007795137j,-44999.9999971+0.000009062820j
