# output/output_voltage.csv run at 2001-08-01 12:00:01 PDT on 556 powerflow objects (not all are nodes)
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
load_3_p,2493.464639,-0.005361,2512.507529,4.187188,2499.294532,2.092647
load_3_q,2493.464639,-0.005361,2512.507529,4.187188,2499.294532,2.092647
load_4_p,0.000000,0.000000,2511.902014,4.187126,0.000000,0.000000
load_4_q,0.000000,0.000000,2511.902014,4.187126,0.000000,0.000000
load_6_p,0.000000,0.000000,0.000000,0.000000,2493.679803,2.092032
load_6_q,0.000000,0.000000,0.000000,0.000000,2493.679803,2.092032
load_7_p,0.000000,0.000000,0.000000,0.000000,2491.727892,2.091817
load_7_q,0.000000,0.000000,0.000000,0.000000,2491.727892,2.091817
load_8_p,0.000000,0.000000,0.000000,0.000000,2490.029425,2.091629
load_8_q,0.000000,0.000000,0.000000,0.000000,2490.029425,2.091629
load_9_p,2472.312140,-0.009094,2505.680676,4.185693,2484.874626,2.091940
load_9_q,2472.312140,-0.009094,2505.680676,4.185693,2484.874626,2.091940
load_11_p,2454.880940,-0.011960,0.000000,0.000000,0.000000,0.000000
load_11_q,2454.880940,-0.011960,0.000000,0.000000,0.000000,0.000000
load_12_p,2454.052048,-0.012061,0.000000,0.000000,0.000000,0.000000
load_12_q,2454.052048,-0.012061,0.000000,0.000000,0.000000,0.000000
load_13_p,2453.228159,-0.012163,0.000000,0.000000,0.000000,0.000000
load_13_q,2453.228159,-0.012163,0.000000,0.000000,0.000000,0.000000
load_14_p,0.000000,0.000000,2500.187060,4.184634,0.000000,0.000000
load_14_q,0.000000,0.000000,2500.187060,4.184634,0.000000,0.000000
load_18_p,0.000000,0.000000,0.000000,0.000000,2454.872927,2.089459
load_18_q,0.000000,0.000000,0.000000,0.000000,2454.872927,2.089459
load_19_p,0.000000,0.000000,0.000000,0.000000,2456.193197,2.089621
load_19_q,0.000000,0.000000,0.000000,0.000000,2456.193197,2.089621
load_21_p,2418.714793,-0.017625,0.000000,0.000000,0.000000,0.000000
load_21_q,2418.714793,-0.017625,0.000000,0.000000,0.000000,0.000000
load_22_p,2416.635682,-0.017907,0.000000,0.000000,0.000000,0.000000
load_22_q,2416.635682,-0.017907,0.000000,0.000000,0.000000,0.000000
load_24_p,0.000000,0.000000,2484.597137,4.184284,0.000000,0.000000
load_24_q,0.000000,0.000000,2484.597137,4.184284,0.000000,0.000000
load_26_p,0.000000,0.000000,0.000000,0.000000,2442.205063,2.093904
load_26_q,0.000000,0.000000,0.000000,0.000000,2442.205063,2.093904
load_30_p,2418.358116,-0.019228,2491.494001,4.185897,2443.510554,2.094922
load_30_q,2418.358116,-0.019228,2491.494001,4.185897,2443.510554,2.094922
load_31_p,2417.953639,-0.019604,2491.871727,4.186013,2442.382372,2.094819
load_31_q,2417.953639,-0.019604,2491.871727,4.186013,2442.382372,2.094819
load_32_p,2418.598268,-0.019672,2491.779066,4.186220,2441.228593,2.094438
load_32_q,2418.598268,-0.019672,2491.779066,4.186220,2441.228593,2.094438
load_33_p,0.000000,0.000000,0.000000,0.000000,2442.567266,2.094458
load_33_q,0.000000,0.000000,0.000000,0.000000,2442.567266,2.094458
load_34_p,0.000000,0.000000,0.000000,0.000000,2441.587070,2.094334
load_34_q,0.000000,0.000000,0.000000,0.000000,2441.587070,2.094334
load_35_p,2414.997042,-0.019697,0.000000,0.000000,0.000000,0.000000
load_35_q,2414.997042,-0.019697,0.000000,0.000000,0.000000,0.000000
load_36_p,0.000000,0.000000,0.000000,0.000000,2458.342255,2.089882
load_36_q,0.000000,0.000000,0.000000,0.000000,2458.342255,2.089882
load_37_p,2416.410157,-0.017067,2483.229218,4.183792,2448.859076,2.094659
load_37_q,2416.410157,-0.017067,2483.229218,4.183792,2448.859076,2.094659
load_39_p,2412.186712,-0.017440,0.000000,0.000000,0.000000,0.000000
load_39_q,2412.186712,-0.017440,0.000000,0.000000,0.000000,0.000000
load_40_p,0.000000,0.000000,2478.265472,4.182362,0.000000,0.000000
load_40_q,0.000000,0.000000,2478.265472,4.182362,0.000000,0.000000
load_41_p,0.000000,0.000000,2477.172653,4.182237,0.000000,0.000000
load_41_q,0.000000,0.000000,2477.172653,4.182237,0.000000,0.000000
load_43_p,0.000000,0.000000,0.000000,0.000000,2445.914468,2.094481
load_43_q,0.000000,0.000000,0.000000,0.000000,2445.914468,2.094481
load_44_p,2411.615910,-0.016630,2478.329002,4.183614,2445.514065,2.094702
load_44_q,2411.615910,-0.016630,2478.329002,4.183614,2445.514065,2.094702
load_45_p,0.000000,0.000000,2474.970782,4.183227,0.000000,0.000000
load_45_q,0.000000,0.000000,2474.970782,4.183227,0.000000,0.000000
load_47_p,2408.771920,-0.016669,0.000000,0.000000,0.000000,0.000000
load_47_q,2408.771920,-0.016669,0.000000,0.000000,0.000000,0.000000
load_48_p,2407.819310,-0.016802,0.000000,0.000000,0.000000,0.000000
load_48_q,2407.819310,-0.016802,0.000000,0.000000,0.000000,0.000000
load_49_p,2408.863324,-0.016040,2474.626093,4.183929,2442.290294,2.094688
load_49_q,2408.863324,-0.016040,2474.626093,4.183929,2442.290294,2.094688
load_50_p,2408.415015,-0.016013,2474.089839,4.183975,2441.838437,2.094659
load_50_q,2408.415015,-0.016013,2474.089839,4.183975,2441.838437,2.094659
load_51_p,2408.601228,-0.015881,2473.467818,4.184034,2441.694841,2.094486
load_51_q,2408.601228,-0.015881,2473.467818,4.184034,2441.694841,2.094486
load_52_p,2408.559313,-0.016068,2473.536840,4.184195,2440.837795,2.094289
load_52_q,2408.559313,-0.016068,2473.536840,4.184195,2440.837795,2.094289
load_53_p,2408.164003,-0.016204,2473.727594,4.184170,2440.804746,2.094362
load_53_q,2408.164003,-0.016204,2473.727594,4.184170,2440.804746,2.094362
load_54_p,2424.048266,-0.017736,2484.075236,4.180794,2449.320418,2.087855
