# file...... output/s_in.csv
# date...... Fri Apr 22 11:04:33 2022
# user...... nathangray
# host...... (null)
# target.... meter 418
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power.real,measured_power.imag,measured_power_A.real,measured_power_A.imag,measured_power_B.real,measured_power_B.imag,measured_power_C.real,measured_power_C.imag
2001-08-01 12:00:00 PDT,+2181636.43393,+2184433.71678,+947178.893897,+831625.119985,+539984.542564,+653063.517359,+694472.997469,+699745.079432
2001-08-01 12:00:01 PDT,+2181636.35629,+2184433.46572,+947178.607643,+831624.580984,+539984.771946,+653064.254757,+694472.976705,+699744.629985
2001-08-01 12:00:02 PDT,+2181636.38224,+2184433.54915,+947178.702852,+831624.757694,+539984.694531,+653064.007756,+694472.98486,+699744.783698
2001-08-01 12:00:03 PDT,+2181636.3736,+2184433.52153,+947178.671249,+831624.699978,+539984.720642,+653064.090399,+694472.981706,+699744.731155
2001-08-01 12:00:04 PDT,+2181636.37647,+2184433.53064,+947178.681716,+831624.718751,+539984.711842,+653064.062784,+694472.982912,+699744.749109
2001-08-01 12:00:05 PDT,+2181636.37552,+2184433.52765,+947178.678257,+831624.712673,+539984.714805,+653064.071998,+694472.982455,+699744.742976
2001-08-01 12:00:06 PDT,+2181636.37583,+2184433.52863,+947178.679397,+831624.71463,+539984.713809,+653064.068929,+694472.982627,+699744.74507
2001-08-01 12:00:07 PDT,+2181636.37573,+2184433.52831,+947178.679023,+831624.714004,+539984.714144,+653064.069949,+694472.982563,+699744.744355
2001-08-01 12:00:08 PDT,+2181636.37576,+2184433.52841,+947178.679145,+831624.714203,+539984.714031,+653064.069611,+694472.982587,+699744.744599
2001-08-01 12:00:09 PDT,+2181636.37575,+2184433.52838,+947178.679105,+831624.71414,+539984.714069,+653064.069723,+694472.982578,+699744.744516
2001-08-01 12:00:10 PDT,+2181636.37576,+2184433.52839,+947178.679118,+831624.71416,+539984.714056,+653064.069686,+694472.982581,+699744.744545
2001-08-01 12:00:11 PDT,+2181636.37575,+2184433.52839,+947178.679114,+831624.714154,+539984.71406,+653064.069698,+694472.98258,+699744.744535
2001-08-01 12:00:12 PDT,+2181636.37575,+2184433.52839,+947178.679116,+831624.714156,+539984.714059,+653064.069694,+694472.98258,+699744.744538
2001-08-01 12:00:13 PDT,+2181636.37575,+2184433.52839,+947178.679115,+831624.714155,+539984.714059,+653064.069695,+694472.98258,+699744.744537
2001-08-01 12:00:14 PDT,+2181636.37575,+2184433.52839,+947178.679115,+831624.714155,+539984.714059,+653064.069695,+694472.98258,+699744.744537
2001-08-01 12:00:15 PDT,+2181636.37575,+2184433.52839,+947178.679115,+831624.714155,+539984.714059,+653064.069695,+694472.98258,+699744.744537
2001-08-01 12:00:16 PDT,+2181636.37575,+2184433.52839,+947178.679115,+831624.714155,+539984.714059,+653064.069695,+694472.98258,+699744.744537
2001-08-01 12:00:17 PDT,+2181636.37575,+2184433.52839,+947178.679115,+831624.714155,+539984.714059,+653064.069695,+694472.98258,+699744.744537
