# output/output_current.csv run at 2001-08-01 12:00:00 PDT on 556 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
oh_line_1_2,499.810681,-0.720528,336.018339,3.308893,390.928033,1.305216
oh_line_2_3,499.810681,-0.720528,336.018339,3.308893,390.928033,1.305216
oh_line_3_4,0.000000,0.000000,9.964478,3.649665,0.000000,0.000000
oh_line_3_5,0.000000,0.000000,0.000000,0.000000,49.210799,1.566848
oh_line_3_9,480.472258,-0.728239,326.643828,3.298697,343.627763,1.268165
oh_line_5_6,0.000000,0.000000,0.000000,0.000000,19.706771,1.565885
oh_line_5_7,0.000000,0.000000,0.000000,0.000000,29.504043,1.567492
oh_line_7_8,0.000000,0.000000,0.000000,0.000000,19.662501,1.567788
oh_line_9_10,470.959066,-0.732477,326.643828,3.298697,343.627763,1.268165
oh_line_10_14,0.000000,0.000000,9.892943,3.654408,0.000000,0.000000
oh_line_10_11,48.077038,-0.512413,0.000000,0.000000,0.000000,0.000000
oh_line_10_15,424.171320,-0.757221,317.388892,3.287842,343.627763,1.268165
oh_line_11_16,28.836402,-0.512110,0.000000,0.000000,0.000000,0.000000
oh_line_15_36,0.000000,0.000000,0.000000,0.000000,48.150460,1.587651
oh_line_15_20,146.153463,-0.971817,94.493404,2.747564,84.295047,0.664726
oh_line_16_13,19.221008,-0.511959,0.000000,0.000000,0.000000,0.000000
oh_line_16_12,9.615396,-0.512412,0.000000,0.000000,0.000000,0.000000
oh_line_17_18,0.000000,0.000000,0.000000,0.000000,19.240544,1.588557
oh_line_17_19,0.000000,0.000000,0.000000,0.000000,9.628120,1.587833
oh_line_20_21,37.607155,-0.492912,0.000000,0.000000,0.000000,0.000000
oh_line_20_23,27.290483,-1.260876,25.142596,1.442394,28.712982,0.863637
oh_line_21_22,18.791517,-0.492311,0.000000,0.000000,0.000000,0.000000
oh_line_23_24,0.000000,0.000000,19.596772,3.663902,0.000000,0.000000
oh_line_23_25,39.163396,-0.738104,20.068282,1.044305,40.406917,1.360291
oh_line_25_26,0.000000,0.000000,0.000000,0.000000,19.090575,1.601596
oh_line_25_27,39.163396,-0.738104,20.068282,1.044305,22.340227,1.154635
oh_line_27_28,18.772526,-0.492928,0.000000,0.000000,19.089067,1.602176
oh_line_27_30,21.442026,-0.952246,20.068282,1.044305,9.724700,0.139662
oh_line_28_29,18.772526,-0.492928,0.000000,0.000000,0.000000,0.000000
oh_line_28_33,0.000000,0.000000,0.000000,0.000000,19.089067,1.602176
oh_line_29_35,18.772526,-0.492928,0.000000,0.000000,0.000000,0.000000
oh_line_30_31,18.806808,-0.494949,0.000000,0.000000,19.079063,1.602800
oh_line_31_32,0.000000,0.000000,0.000000,0.000000,19.079063,1.602800
oh_line_32_119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
oh_line_33_34,0.000000,0.000000,0.000000,0.000000,9.541644,1.602450
oh_line_36_17,0.000000,0.000000,0.000000,0.000000,28.868662,1.588315
oh_line_37_38,18.740006,-0.488650,29.274022,3.666245,0.000000,0.000000
oh_line_37_42,66.087978,-1.124534,75.781452,3.027621,60.779997,0.906320
oh_line_38_39,18.740006,-0.488650,0.000000,0.000000,0.000000,0.000000
oh_line_38_40,0.000000,0.000000,29.274022,3.666245,0.000000,0.000000
oh_line_40_41,0.000000,0.000000,9.753623,3.666633,0.000000,0.000000
oh_line_42_43,0.000000,0.000000,0.000000,0.000000,9.567184,1.599638
oh_line_42_44,66.087978,-1.124534,75.781452,3.027621,53.770354,0.792362
oh_line_44_45,0.000000,0.000000,19.480763,3.669050,0.000000,0.000000
oh_line_44_46,58.823316,-1.219401,61.291230,2.836279,53.770354,0.792362
oh_line_46_47,18.695086,-0.485135,0.000000,0.000000,0.000000,0.000000
oh_line_46_49,46.658480,-1.491207,61.291230,2.836279,53.770354,0.792362
oh_line_47_48,9.344798,-0.484856,0.000000,0.000000,0.000000,0.000000
oh_line_49_50,22.727678,-1.206679,25.720917,2.990118,24.258852,0.902260
oh_line_49_51,14.937823,-1.440379,25.692858,2.990203,21.140083,1.074098
oh_line_51_52,9.346784,-0.484507,0.000000,0.000000,19.074458,1.602919
oh_line_52_53,9.346784,-0.484507,0.000000,0.000000,0.000000,0.000000
oh_line_54_55,281.096437,-0.613970,257.051098,3.540518,246.967695,1.462100
oh_line_55_56,262.453041,-0.622579,257.051098,3.540518,246.967695,1.462100
oh_line_56_57,9.366683,-0.490748,9.742536,3.663900,0.000000,0.000000
oh_line_56_59,253.170629,-0.627443,247.385529,3.535672,246.967695,1.462100
oh_line_57_58,0.000000,0.000000,9.742536,3.663900,0.000000,0.000000
oh_line_59_60,0.000000,0.000000,28.983853,3.671039,0.000000,0.000000
oh_line_59_62,253.170629,-0.627443,218.701809,3.517786,246.967695,1.462100
oh_line_60_61,0.000000,0.000000,9.657984,3.671340,0.000000,0.000000
oh_line_62_63,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
oh_line_62_64,20.601988,-1.088287,37.222400,3.369463,70.471203,1.425481
oh_line_64_65,20.601988,-1.088287,37.222400,3.369463,52.253235,1.358935
oh_line_65_66,11.918747,4.108710,37.222400,3.369463,52.253235,1.358935
oh_line_66_67,11.918747,4.108710,12.621909,2.130899,52.253235,1.358935
oh_line_67_68,0.000000,0.000000,0.000000,0.000000,34.172778,1.653095
oh_line_69_70,54.827261,-0.471653,0.000000,0.000000,0.000000,0.000000
oh_line_69_74,108.304340,-0.646465,123.272557,3.561099,129.129326,1.498835
oh_line_69_99,63.197290,-0.606229,58.731383,3.520561,47.550725,1.416607
oh_line_70_71,45.658134,-0.470967,0.000000,0.000000,0.000000,0.000000
oh_line_71_72,27.367258,-0.469952,0.000000,0.000000,0.000000,0.000000
oh_line_72_73,18.238556,-0.469605,0.000000,0.000000,0.000000,0.000000
oh_line_74_75,0.000000,0.000000,0.000000,0.000000,55.716369,1.615794
oh_line_74_78,108.304340,-0.646465,123.272557,3.561099,74.079474,1.410956
oh_line_75_76,0.000000,0.000000,0.000000,0.000000,37.101142,1.616914
oh_line_76_77,0.000000,0.000000,0.000000,0.000000,18.536233,1.617662
oh_line_78_79,36.580359,-0.474091,37.967554,3.686227,37.006516,1.618399
oh_line_78_88,36.437901,-0.468427,66.090753,3.688678,18.659829,1.610158
oh_line_79_80,36.580359,-0.474091,18.975780,3.686696,37.006516,1.618399
oh_line_80_81,18.287174,-0.473304,0.000000,0.000000,0.000000,0.000000
oh_line_80_82,18.293197,-0.474877,18.975780,3.686696,37.006516,1.618399
oh_line_82_83,18.293197,-0.474877,0.000000,0.000000,37.006516,1.618399
oh_line_83_84,18.293197,-0.474877,0.000000,0.000000,9.283296,1.615126
oh_line_83_86,0.000000,0.000000,0.000000,0.000000,27.723286,1.619495
oh_line_84_85,0.000000,0.000000,0.000000,0.000000,9.283296,1.615126
oh_line_86_87,0.000000,0.000000,0.000000,0.000000,18.470947,1.620089
oh_line_88_89,36.437901,-0.468427,56.621738,3.688951,18.659829,1.610158
oh_line_89_90,18.231074,-0.469070,0.000000,0.000000,0.000000,0.000000
oh_line_89_91,18.206834,-0.467783,37.722047,3.689414,18.659829,1.610158
oh_line_91_92,0.000000,0.000000,18.865419,3.689443,0.000000,0.000000
oh_line_91_93,18.206834,-0.467783,18.856628,3.689385,18.659829,1.610158
oh_line_93_94,0.000000,0.000000,0.000000,0.000000,18.659829,1.610158
oh_line_93_95,18.206834,-0.467783,18.856628,3.689385,0.000000,0.000000
oh_line_95_96,18.206834,-0.467783,0.000000,0.000000,0.000000,0.000000
oh_line_95_97,0.000000,0.000000,18.856628,3.689385,0.000000,0.000000
oh_line_97_98,0.000000,0.000000,9.426445,3.689569,0.000000,0.000000
oh_line_99_100,18.351586,-0.476106,19.054952,3.683355,18.678590,1.610101
oh_line_100_101,0.000000,0.000000,19.054952,3.683355,18.678590,1.610101
oh_line_101_102,0.000000,0.000000,0.000000,0.000000,18.678590,1.610101
oh_line_102_123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
oh_line_103_104,0.000000,0.000000,0.000000,0.000000,46.492104,1.615239
oh_line_103_107,45.063808,-0.659095,40.047629,3.443367,20.749142,-1.062285
oh_line_104_105,0.000000,0.000000,0.000000,0.000000,37.164838,1.615984
oh_line_105_106,0.000000,0.000000,0.000000,0.000000,18.557247,1.617290
oh_line_107_108,0.000000,0.000000,56.986967,3.685415,0.000000,0.000000
oh_line_107_110,63.320164,-0.462274,0.000000,0.000000,0.000000,0.000000
oh_line_108_109,0.000000,0.000000,18.966524,3.686821,0.000000,0.000000
